property_value,street_number,street_type,street_name,postal_code,town_name,department_code,property_type,building_area,main_rooms,land_area,year
270000,6,ALL,DE MARS,93600,AULNAY SOUS BOIS,93,Maison,78,4,268,2022
380000,21,RUE,DU BEL AIR,93700,DRANCY,93,Dépendance,0,0,445,2022
380000,21,RUE,DU BEL AIR,93700,DRANCY,93,Maison,80,4,445,2022
370000,5,RUE,DE LA GUETTE,93330,NEUILLY-SUR-MARNE,93,Maison,73,4,195,2022
370000,5,RUE,DE LA GUETTE,93330,NEUILLY-SUR-MARNE,93,Dépendance,0,0,195,2022
500000,5,AV,VICTOR HUGO,93370,MONTFERMEIL,93,Maison,80,3,631,2022
660000,81,AV,PDT SALVADOR ALLENDE,93100,MONTREUIL,93,Maison,75,4,265,2022
415000,56,RUE,DU QUATRE SEPTEMBRE,93600,AULNAY SOUS BOIS,93,Maison,105,4,441,2022
415000,56,RUE,DU QUATRE SEPTEMBRE,93600,AULNAY SOUS BOIS,93,Dépendance,0,0,441,2022
218000,13,AV,PIERRE CURIE,93290,TREMBLAY-EN-FRANCE,93,Maison,53,3,405,2022
290000,146,RUE,CHARLES GIDE,93700,DRANCY,93,Maison,108,4,205,2022
290000,146,RUE,CHARLES GIDE,93700,DRANCY,93,Dépendance,0,0,205,2022
755000,1,RUE,DU GOULET,93300,AUBERVILLIERS,93,Local industriel. commercial ou assimilé,53,0,326,2022
755000,1,RUE,DU GOULET,93300,AUBERVILLIERS,93,Local industriel. commercial ou assimilé,40,0,326,2022
755000,1,RUE,DU GOULET,93300,AUBERVILLIERS,93,Local industriel. commercial ou assimilé,74,0,326,2022
415000,12,RUE,DE BORDEAUX,93290,TREMBLAY-EN-FRANCE,93,Maison,155,6,427,2022
415000,12,RUE,DE BORDEAUX,93290,TREMBLAY-EN-FRANCE,93,Maison,25,3,427,2022
262000,53,RUE,DES PREVOYANTS,93240,STAINS,93,Maison,61,3,333,2022
262000,53,RUE,DES PREVOYANTS,93240,STAINS,93,Dépendance,0,0,333,2022
590000,26,VLA,BRAZZA,93230,ROMAINVILLE,93,Maison,80,3,254,2022
380000,15,BD,DU MARECHAL FOCH,93160,NOISY-LE-GRAND,93,Appartement,24,2,228,2022
380000,15,BD,DU MARECHAL FOCH,93160,NOISY-LE-GRAND,93,Dépendance,0,0,228,2022
380000,15,BD,DU MARECHAL FOCH,93160,NOISY-LE-GRAND,93,Appartement,20,1,228,2022
